section,name,sites,share,namedShare,unnamedShare
signals,Walk ins or same day appointments stated,57,12,15,12
signals,Spanish offered,15,3,3,3
signals,Family owned or locally owned stated,18,4,3,4
signals,Any review widget or directory badge on the homepage,61,13,19,12
signals,A directory profile linked,14,3,5,3
signals,A review count shown on the homepage,44,10,17,7
signals,A numeric star rating shown on the homepage,14,3,3,3
signals,A video embedded on the homepage,123,27,29,26
signals,A price of any kind shown or a pricing page linked,50,11,13,10
signals,Any JSON-LD structured data,388,84,84,85
signals,Practice or local business schema,268,58,53,60
signals,Chiropractor or medical business schema specifically,99,22,19,22
signals,Chiropractor schema exactly,8,2,3,1
signals,LocalBusiness schema,188,41,35,43
signals,Person schema for a doctor,55,12,15,11
signals,"Only boilerplate schema (WebSite or Organization, no business type)",120,26,30,25
signals,FAQPage schema,42,9,10,9
signals,Review or AggregateRating schema,29,6,5,7
signals,An FAQ on the homepage,185,40,46,39
signals,A blog or articles section linked,226,49,67,44
signals,A click to call phone link,368,80,83,79
signals,Spinal decompression offered,121,26,31,25
signals,Massage therapy offered,149,32,34,32
signals,Physical therapy or rehab offered,166,36,42,34
signals,Dry needling or acupuncture offered,83,18,23,17
signals,Cold laser therapy offered,76,17,17,16
signals,Shockwave therapy offered,60,13,19,11
signals,Prenatal or pregnancy care offered,208,45,54,43
signals,Pediatric care offered,128,28,40,24
signals,Sports injury care offered,177,38,43,37
signals,Auto accident or whiplash work stated,237,52,51,52
signals,Work injury or workers comp work stated,101,22,22,22
signals,X-ray on site stated,134,29,33,28
signals,Meta pixel installed,43,9,15,8
signals,Google Tag Manager installed,167,36,47,33
signals,Google Analytics 4 installed,132,29,31,28
signals,Google Ads conversion tag installed,39,8,10,8
signals,Call tracking installed,8,2,2,2
signals,Microsoft Clarity installed,12,3,4,2
signals,Bing UET installed,3,1,1,1
signals,Https,455,99,100,99
signals,Mobile viewport tag,447,97,99,97
signals,Copyright year 2026 in the footer,200,43,46,43
signals,Copyright year 2023 or older,36,8,6,8
signals,Says 'near me' somewhere on the homepage,20,4,1,5
