cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,clinicsNamed,tier,aiCheckedOn
"Grand Rapids, MI",MI,7,0,0,0,5,GREEN,2026-09-08
"Killeen, TX",TX,7,1,0,0,5,GREEN,2026-09-08
"Knoxville, TN",TN,7,1,1,0,5,GREEN,2026-09-08
"Laredo, TX",TX,7,1,0,2,4,GREEN,2026-09-08
"Marietta, GA",GA,7,0,0,0,4,GREEN,2026-09-08
"Reno, NV",NV,7,1,0,1,4,GREEN,2026-09-08
"Temple, TX",TX,7,3,1,0,6,GREEN,2026-09-08
"Vero Beach, FL",FL,7,4,0,0,4,GREEN,2026-09-08
"Wichita, KS",KS,7,1,1,0,5,GREEN,2026-09-08
"Wichita Falls, TX",TX,7,3,0,1,3,YELLOW,2026-09-08
"Charleston, SC",SC,6,3,1,1,4,GREEN,2026-09-08
"Frederick, MD",MD,6,1,0,0,5,GREEN,2026-09-08
"Loveland, CO",CO,6,1,0,0,3,YELLOW,2026-09-08
"Port St. Lucie, FL",FL,6,1,0,0,4,GREEN,2026-09-08
"San Angelo, TX",TX,6,3,0,0,5,GREEN,2026-09-08
"Syracuse, NY",NY,6,3,1,0,5,GREEN,2026-09-08
"Visalia, CA",CA,6,2,1,1,5,GREEN,2026-09-08
"Bend, OR",OR,6,1,1,0,6,GREEN,2026-09-08
"Bloomington, IN",IN,6,1,0,0,4,GREEN,2026-09-08
"Buffalo, NY",NY,6,1,0,0,4,GREEN,2026-09-08
"Canton, OH",OH,6,1,0,0,5,GREEN,2026-09-08
"Cary, NC",NC,6,0,0,0,6,GREEN,2026-09-08
"Clarksville, TN",TN,6,0,0,0,5,GREEN,2026-09-08
"College Station, TX",TX,6,1,0,0,5,GREEN,2026-09-08
"Columbia, MO",MO,6,0,0,1,4,GREEN,2026-09-08
"Columbus, GA",GA,6,2,0,0,4,GREEN,2026-09-08
"Concord, NC",NC,6,3,0,1,4,GREEN,2026-09-08
"Conroe, TX",TX,6,0,0,0,7,GREEN,2026-09-08
"Dayton, OH",OH,6,3,2,0,5,GREEN,2026-09-08
"Denton, TX",TX,6,1,0,0,4,GREEN,2026-09-08
"Eau Claire, WI",WI,6,2,0,0,4,GREEN,2026-09-08
"Eugene, OR",OR,6,2,0,1,5,GREEN,2026-09-08
"Fort Collins, CO",CO,6,3,0,0,4,GREEN,2026-09-08
"Grand Junction, CO",CO,6,1,1,2,5,GREEN,2026-09-08
